timestamp,open,high,low,close,volume
2012-06-15,175.3800,177.6600,170.1600,176.7300,5169000
2012-06-08,167.1700,174.0000,162.7100,173.9100,4643000
2012-06-01,173.1300,174.6900,165.4000,166.5700,6018000
2012-05-25,167.1100,172.6200,160.2500,171.3600,34127400
2012-05-18,177.0300,179.9400,171.3600,171.9100,2965200
2012-05-11,181.0400,184.8200,177.1200,179.7700,2940100
2012-05-04,191.9600,193.2400,181.7700,183.1700,4410100
2012-04-27,188.0000,193.9400,184.0000,192.5000,3651500
2012-04-20,199.5000,202.9900,189.5900,190.4000,5339900
2012-04-13,201.6400,208.2100,197.1500,197.8100,3171400
2012-04-05,206.3100,209.3700,202.3800,205.9800,2736100
2012-03-30,201.5200,208.6900,198.7000,204.9000,2429300
2012-03-23,204.0200,206.5200,198.1500,201.1100,2218200
2012-03-16,196.9800,206.4200,194.5100,205.6000,3165300
2012-03-09,196.7400,198.9700,191.8800,196.9100,2965800
2012-03-02,195.0000,202.0900,194.0000,198.2500,3812800
2012-02-24,196.3700,199.1000,192.4000,196.0000,2303900
2012-02-17,191.3700,196.8000,189.4300,196.1900,3553800
2012-02-10,184.0101,190.9649,184.0101,190.0000,2743100
2012-02-03,185.6800,188.6900,180.4100,188.6400,4782100
2012-01-27,181.9900,191.6800,181.6300,187.4900,3206300
2012-01-20,188.6200,190.4000,180.8300,182.8200,4251900
2012-01-13,179.3000,187.1700,177.3000,186.5700,3252000
2012-01-06,183.6500,185.9600,175.1800,179.1300,2361200
2011-12-30,178.1800,179.7700,175.9000,178.2400,1206100
2011-12-23,170.5700,178.7300,165.0900,178.4100,2779500
2011-12-16,166.3400,172.3400,165.2800,170.3300,3105800
2011-12-09,172.9400,176.5000,167.1300,172.6800,3481900
2011-12-02,157.8100,173.2200,157.3500,169.0200,4611400
2011-11-25,156.4300,158.0000,150.3500,151.2700,2315000
2011-11-18,162.8000,168.3300,158.1200,159.2600,4323000
2011-11-11,158.0100,166.0000,152.9900,164.3300,4740700
2011-11-04,166.5100,166.9200,149.8400,157.6000,5356000
2011-10-28,155.7000,170.7999,149.9300,169.7800,5595300
2011-10-21,154.2500,157.7600,146.5300,154.3200,5417300
2011-10-14,152.8800,160.1900,149.5200,155.9100,5176000
2011-10-07,146.8100,153.0000,137.0000,147.7800,5002000
2011-09-30,148.0100,157.7500,144.6750,148.0100,5256200
2011-09-23,156.5000,159.4200,140.2200,147.6300,4384300
2011-09-16,150.1900,161.8900,148.1000,160.8800,5396500
2011-09-09,150.2500,159.0200,148.9000,151.0700,3769000
2011-09-02,163.7700,168.9400,155.0500,156.0400,4265800
2011-08-26,155.2400,167.9700,150.2400,160.9900,4802100
2011-08-19,162.6300,165.6400,150.0000,151.3300,4750200
2011-08-12,154.0300,168.5000,144.6400,161.0700,8746400
2011-08-05,181.4000,181.5000,157.0000,161.5800,6784500
2011-07-29,185.5000,188.7300,172.3800,178.4600,5323900
2011-07-22,184.2400,191.4892,178.7800,187.9200,4129500
2011-07-15,190.1700,192.4500,181.7600,184.5400,3962500
2011-07-08,195.4400,199.1000,193.0900,195.4500,2005400
2011-07-01,184.5600,196.6400,184.1000,196.4200,3379900
2011-06-24,186.8500,191.8500,183.5100,184.3900,3002800
2011-06-17,186.2100,193.0000,185.1900,187.3400,3591600
2011-06-10,192.8800,193.9800,185.2700,185.8200,3410400
2011-06-03,202.5000,207.4200,193.5400,193.6300,3307400
2011-05-27,195.5700,201.1800,191.5200,200.6700,3517200
2011-05-20,192.2600,199.9900,187.4700,197.5100,2910500
2011-05-13,197.3200,198.1600,192.0800,194.2400,2142500
2011-05-06,196.8600,197.8500,190.7400,195.7400,2871200
2011-04-29,198.7700,200.4100,194.8800,195.9400,3103700
2011-04-21,191.0800,199.2100,189.0600,198.8800,3622900
2011-04-15,195.8500,197.2900,192.1500,193.2400,4243400
2011-04-08,201.4000,202.8000,195.3100,196.1000,5907800
2011-04-01,189.3000,204.5000,185.2000,202.4300,27500100
2011-03-25,185.0100,189.0200,181.3700,188.2400,3100300
2011-03-18,188.6800,189.1800,179.5200,184.5500,3725100
2011-03-11,202.5000,203.1100,188.3200,189.9800,3309600
2011-03-04,203.1100,209.7700,198.7400,201.8900,3385700
2011-02-25,203.4100,204.5500,193.5800,203.9200,2916800
2011-02-18,203.5000,207.4700,202.5400,206.6700,2484400
2011-02-11,195.2600,203.6000,195.0000,203.4200,2942900
2011-02-04,194.6000,202.0000,194.0600,194.3500,3281500
2011-01-28,194.2300,202.0600,191.3100,194.2800,5236800
2011-01-21,199.3100,199.9900,189.2500,193.0700,3020500
2011-01-14,188.1100,199.1000,187.4300,199.0600,3867600
2011-01-07,191.5200,195.0000,185.4600,188.3600,4418400
2010-12-31,188.5600,191.4700,187.0300,190.5800,1931600
2010-12-23,187.5300,193.7399,185.4600,188.6700,3425800
2010-12-17,184.0000,189.0300,178.2300,187.2000,7310200
2010-12-10,172.6900,183.1100,169.6000,183.0500,6391600
2010-12-03,164.1400,172.7600,161.5300,172.3500,5468400
2010-11-26,168.5600,169.8000,162.5500,164.6000,3457300
2010-11-19,173.7200,173.7500,165.7800,168.9800,9069400
2010-11-12,171.9900,173.0800,164.3400,173.0700,30194700
2010-11-05,171.7400,174.4700,164.0100,173.1500,5996000
2010-10-29,167.7100,171.2500,166.2100,170.9900,2307200
2010-10-22,175.1200,177.3300,165.1700,167.5600,3780300
2010-10-15,175.7200,181.0000,174.6300,175.7400,2486600
2010-10-08,171.5600,174.8400,166.1700,174.5000,2452300
2010-10-01,163.5800,172.0000,163.4150,171.3400,2478200
2010-09-24,165.7800,172.8700,160.8600,167.2300,2959100
2010-09-17,152.7100,165.8100,149.9500,165.0500,3107400
2010-09-10,150.9000,156.0000,148.5400,151.1600,1343800
2010-09-03,141.3400,151.5900,140.2500,151.5500,1634800
2010-08-27,145.7100,146.0000,139.1600,141.1500,1865500
2010-08-20,150.3500,153.4000,144.5000,145.4000,1681800
2010-08-13,158.3100,161.0100,148.9925,151.5800,1679000
2010-08-06,160.0000,163.5100,154.2400,157.1600,1968600
2010-07-30,155.2500,162.6400,155.0100,157.4900,1888200
2010-07-23,150.0000,155.5900,141.0100,154.4900,2825800
2010-07-16,153.9200,158.4500,148.9600,149.1400,1467300
2010-07-09,144.1800,155.2600,143.3500,154.9700,1641800
2010-07-02,152.8000,153.8400,138.4200,142.7900,2198200
2010-06-25,160.7800,161.8500,150.2800,152.3400,1927300
2010-06-18,158.9600,163.4200,157.6900,158.7700,1766700
2010-06-11,160.6200,162.1800,151.8100,159.1400,2955800
2010-06-04,165.0900,167.8800,159.0600,159.4900,1768600
2010-05-28,167.5100,174.0800,155.5000,167.8800,3664300
2010-05-21,169.5400,175.8100,158.0000,166.4700,3399500
2010-05-14,176.5200,181.1100,168.6550,169.7200,2832900
2010-05-07,185.6100,187.4100,167.2400,172.1200,4367300
2010-04-30,204.3000,204.3000,181.1800,184.0000,5511300
2010-04-23,199.5200,211.8900,199.2800,211.0200,2451300
2010-04-16,205.3700,212.2700,199.2300,200.7500,2884600
2010-04-09,210.6900,210.6900,197.4000,206.1100,5266600
2010-04-01,219.0000,221.7800,206.9500,211.0500,2494500
2010-03-26,223.0000,227.7700,218.0800,219.2700,1950200
2010-03-19,209.0200,227.0000,208.6500,224.3500,2491200
2010-03-12,219.8300,219.8300,208.3500,210.0000,2451500
2010-03-05,217.9100,220.3200,212.2800,219.8300,2316600
2010-02-26,217.5200,219.8500,214.5900,218.8000,1593000
2010-02-19,208.3000,216.1885,207.0000,215.5100,1295300
2010-02-12,209.4000,212.9100,202.8200,207.1600,2374100
2010-02-05,215.2500,221.8900,200.5600,208.7900,3170200
2010-01-29,225.4400,231.1300,212.6600,213.8200,2074900
2010-01-22,237.6900,240.8600,222.6110,225.0000,1027900
2010-01-15,239.9500,243.8000,234.2200,238.0900,980300
2010-01-08,236.0500,239.6700,233.5210,238.9200,1158700
2009-12-31,240.0000,241.6650,232.2000,232.2000,973200
2009-12-24,239.4000,241.4200,237.8600,239.6500,750900
2009-12-18,226.1000,239.6700,223.7200,238.8100,2170300
2009-12-11,222.6500,230.0000,219.5000,226.0100,1474300
2009-12-04,223.4400,229.8800,216.3000,223.4900,1987100
2009-11-27,227.3400,231.4300,220.9400,221.1900,837700
2009-11-20,233.9800,240.5000,225.3600,225.6600,1062500
2009-11-13,228.5600,237.6000,228.2000,233.1000,1416300
2009-11-06,217.0200,229.6200,216.1100,227.5100,1177000
2009-10-30,233.0700,233.5200,214.5500,216.4900,1730300
2009-10-23,229.6000,240.0000,228.4700,231.2000,2312300
2009-10-16,216.4700,227.8600,212.6500,225.5500,1546000
2009-10-09,208.3500,219.0600,207.0100,216.5500,1873200
2009-10-02,205.3900,218.6100,205.2500,206.9300,1991500
2009-09-25,205.8200,220.1700,203.0000,203.7500,1930900
2009-09-18,199.4100,207.6500,197.6100,207.1900,1630400
2009-09-11,198.8400,203.0000,197.1000,201.7700,986800
2009-09-04,197.3000,202.8590,191.6800,195.4500,1589800
2009-08-28,209.5000,210.5300,196.3600,201.5500,2269200
2009-08-21,192.7300,210.0200,188.5000,207.5000,2345800
2009-08-14,203.5000,203.9800,195.6000,197.7700,1747200
2009-08-07,192.1000,203.5899,192.1000,202.4600,2253500
2009-07-31,191.3100,195.3700,187.6300,190.5400,2166200
2009-07-24,181.4900,199.6300,178.4000,192.1800,4228100
2009-07-17,168.6300,180.3200,165.5600,179.7900,2255300
2009-07-10,167.7500,168.2800,159.4500,166.1600,2678300
2009-07-02,176.5000,177.9500,167.6500,168.0200,1408500
2009-06-26,173.4300,177.9800,167.2600,177.8800,3192500
2009-06-19,172.8500,175.4900,165.7400,174.9600,4122100
2009-06-12,169.0000,183.8000,164.7000,176.5600,6060800
2009-06-05,162.9200,169.7500,157.9800,163.7400,4180000
2009-05-29,145.6900,159.5000,145.3300,159.5000,3142800
2009-05-22,143.2500,149.2500,134.5000,147.7200,4628000
2009-05-15,145.3000,147.3300,136.8200,140.8100,3845100
2009-05-08,150.1800,160.6000,143.0100,148.3500,5748400
2009-05-01,149.9900,153.2600,144.5000,148.4200,3677800
2009-04-24,134.9500,152.7200,119.1200,151.1600,7119500
2009-04-17,135.7600,142.5000,129.6900,135.9200,3945300
2009-04-09,135.4500,138.8300,125.6900,138.0400,3721800
2009-04-03,123.5400,138.8600,123.3800,138.0000,5368400
2009-03-27,117.8100,139.0000,115.9200,127.4900,5995400
2009-03-20,108.9000,122.4600,102.7300,113.9600,4498500
2009-03-13,90.5000,111.7000,89.5000,108.0000,3702100
2009-03-06,95.8000,99.1600,88.9100,92.4000,5623600
