timestamp;open;high;low;close;volume;company_id
2020-11-13;1795.9800;1816.8900;1716.1200;1772.2600;9227228;3
2020-11-06;1623.5400;1791.8180;1612.1080;1759.7300;10769230;3
2020-10-30;1615.0000;1681.3150;1508.4800;1616.1100;13111670;3
2020-10-23;1575.9300;1634.1200;1520.5000;1632.9800;9641795;3
2020-10-16;1538.0000;1588.4200;1529.3000;1567.7000;9651811;3
2020-10-09;1462.6500;1511.8500;1433.2300;1510.4500;7142400;3
2020-10-02;1471.9900;1495.0700;1446.2800;1455.6000;8381871;3
2020-09-25;1431.6200;1463.9700;1402.1500;1439.0600;9673534;3
2020-09-18;1531.6471;1557.0000;1431.6200;1451.0900;9545375;3
2020-09-11;1525.0000;1573.6600;1493.0200;1515.7600;7850195;3
2020-09-04;1643.5700;1726.1022;1537.9701;1581.2100;10909755;3
2020-08-28;1592.4700;1652.7900;1575.0400;1639.4300;7837417;3
2020-08-21;1515.9700;1591.8800;1505.0000;1575.5700;7001858;3
2020-08-14;1490.8000;1536.9744;1477.4901;1504.6300;5925512;3
2020-08-07;1491.0000;1520.0900;1464.0300;1498.3700;8645767;3
2020-07-31;1513.2600;1540.8900;1454.0000;1487.9500;10413995;3
2020-07-24;1515.0000;1587.0500;1487.5900;1508.2100;7233702;3
2020-07-17;1549.9400;1576.3600;1485.9300;1516.8500;8641939;3
2020-07-10;1488.1500;1541.3400;1476.9800;1539.0100;9830204;3
2020-07-02;1360.3400;1488.5200;1351.6500;1469.9300;9238766;3
2020-06-26;1425.0100;1475.7900;1355.0000;1362.5400;11019155;3
2020-06-19;1389.4900;1462.2000;1387.2000;1424.6400;8975216;3
2020-06-12;1426.2800;1472.7700;1385.8000;1412.9200;9154151;3
2020-06-05;1425.7000;1449.0100;1406.0100;1440.0200;7299418;3
2020-05-29;1441.9600;1445.1100;1394.6000;1433.5200;7425982;3
2020-05-22;1361.5800;1417.0000;1354.2000;1413.2400;8813466;3
2020-05-15;1376.7900;1415.5300;1323.3000;1373.0600;9260350;3
2020-05-08;1308.1300;1396.6400;1296.0100;1384.3400;8312600;3
2020-05-01;1292.0000;1360.1500;1230.3800;1317.3200;16897906;3
2020-04-24;1269.8900;1288.1500;1205.0000;1276.6000;10144930;3
2020-04-17;1201.5000;1290.0000;1182.3300;1279.0000;12662413;3
2020-04-09;1133.0000;1221.9900;1125.0000;1206.5700;10965082;3
2020-04-03;1132.6400;1173.4000;1075.0800;1092.7000;14188545;3
2020-03-27;1056.3700;1171.4800;1008.8700;1110.2600;19297309;3
2020-03-20;1089.6100;1152.6100;1037.0000;1068.2100;21469652;3
2020-03-13;1204.9600;1275.8500;1108.4700;1214.2700;17634104;3
2020-03-06;1351.3900;1408.1900;1257.2100;1295.7400;13932728;3
2020-02-28;1423.0500;1436.8500;1268.2100;1339.2500;14672559;3
2020-02-21;1514.3400;1530.7400;1478.4900;1483.4600;5846578;3
2020-02-14;1477.2300;1529.8800;1475.2000;1518.7300;7515370;3
2020-02-07;1461.6500;1486.3000;1422.0300;1479.1100;13530648;3
2020-01-31;1431.5400;1469.6700;1419.5000;1432.7800;7821663;3
2020-01-24;1479.0000;1500.5800;1463.1800;1466.1700;6631966;3
2020-01-17;1435.2500;1480.5500;1425.3700;1479.5200;7833938;3
2020-01-10;1351.6300;1434.9400;1351.0000;1428.9600;8806689;3
2020-01-03;1356.8100;1373.7500;1332.1300;1361.5200;4511547;3
2019-12-27;1358.7300;1367.0500;1344.1700;1354.6400;4015050;3
2019-12-20;1355.0000;1364.3300;1348.7500;1351.2200;8256670;3
2019-12-13;1338.8600;1357.5500;1334.0000;1346.8700;6576777;3
2019-12-06;1302.5600;1342.4700;1277.0500;1339.3900;7454667;3
2019-11-29;1296.2600;1317.6400;1295.6100;1304.0900;3857352;3
2019-11-22;1332.3400;1333.9200;1289.2100;1293.6700;6605123;3
2019-11-15;1304.0000;1333.5400;1292.1500;1333.5400;6657281;3
2019-11-08;1276.1100;1322.6500;1276.1100;1309.0000;7799211;3
2019-11-01;1275.0000;1299.2400;1249.4800;1272.2500;10139174;3
2019-10-25;1248.7000;1268.0000;1239.8500;1264.3000;5858543;3
2019-10-18;1213.8900;1263.7500;1211.8800;1244.4100;5879842;3
2019-10-11;1207.0000;1228.7500;1189.4800;1215.7100;4519358;3
2019-10-04;1220.6000;1232.8600;1163.1400;1210.9600;6950217;3
2019-09-27;1226.5700;1248.0200;1209.2000;1225.9500;7282001;3
2019-09-20;1230.4400;1244.3400;1216.4700;1229.8400;6135614;3
2019-09-13;1207.0800;1242.4200;1193.1700;1240.0300;6931093;3
2019-09-06;1181.8500;1214.0000;1163.7100;1206.3200;4631018;3
2019-08-30;1159.4500;1200.3500;1154.8500;1190.5300;4951718;3
2019-08-23;1191.8300;1209.3900;1150.0000;1153.5800;5622748;3
2019-08-16;1180.0000;1205.4300;1161.0700;1179.2100;7000886;3
2019-08-09;1172.9700;1206.2800;1142.7500;1188.9000;8253819;3
2019-08-02;1242.5000;1248.9900;1190.0000;1196.3200;9014622;3
2019-07-26;1135.4700;1268.3900;1123.7100;1245.2200;12638085;3
2019-07-19;1145.3400;1158.5800;1131.2500;1131.5500;5735888;3
2019-07-12;1125.8700;1153.2400;1107.1500;1145.3400;6898001;3
2019-07-05;1101.0400;1134.6500;1095.3300;1132.6700;4993764;3
2019-06-28;1120.0000;1123.5700;1073.6900;1082.8000;7416465;3
2019-06-21;1089.1000;1126.5700;1088.0000;1125.3700;7790598;3
2019-06-14;1077.0000;1104.0100;1069.6000;1086.3000;6554896;3
2019-06-07;1066.9300;1073.4300;1027.0300;1068.3700;13861863;3
2019-05-31;1141.4800;1156.4900;1103.3500;1106.5000;5342964;3
2019-05-24;1153.0000;1163.7800;1133.1600;1138.6100;5687961;3
2019-05-17;1145.2400;1194.1600;1121.4000;1168.7800;10299791;3
2019-05-10;1172.0000;1195.4300;1146.3700;1167.6400;7755156;3
2019-05-03;1280.5100;1296.9700;1158.3300;1189.5500;18328501;3
2019-04-26;1236.6700;1278.9100;1233.3700;1277.4200;6646245;3
2019-04-18;1224.0900;1245.9400;1214.5600;1241.4700;5077147;3
2019-04-12;1211.1100;1223.0500;1198.3800;1222.7300;4912441;3
2019-04-05;1187.5400;1220.6000;1186.3600;1211.4500;5461755;3
2019-03-29;1199.5600;1209.4400;1163.4300;1176.8900;7052594;3
2019-03-22;1189.6900;1236.4400;1181.4800;1207.6500;7915665;3
2019-03-15;1152.0000;1207.1200;1151.5700;1190.3000;8865376;3
2019-03-08;1154.5600;1176.4900;1130.2000;1149.9700;7648302;3
2019-03-01;1121.9300;1150.0000;1106.7000;1148.5200;7242117;3
2019-02-22;1116.6400;1130.9300;1097.9800;1116.5600;5439555;3
